EN;NL;FR
Add Urine Leakage;Voeg urineverlies toe;Ajoutez fuite d'urine
Add drink;Voeg drank toe;Ajoutez boisson
Add pee;Voeg plas manueel toe;Ajoutez miction
Bed time;Bedtijd;Heure du coucher
Catheter use;Katheter gebruikt;Utilisation du cathéter
No;Nee;Non
Yes;Ja;Oui
Diaper Volume;Luiervolume;Volume de la couche
Reason for peeing;Initiatief van plasbeurt;Cause de l'urine
Child;Kind;Enfant
Parent;Ouder;Parent
Leakage;Urineverlies;Fuite d'urine
No leakage;Geen ;Aucune fuite d'urine
Some drops;Enkele druppels;Quelques gouttes
Drops;Druppels;Gouttes
Wet underwear/pad needs to be changed;Nat ondergoed/verband dat vervangen moest worden;Sous-vêtements mouillés/Protection doit être remplacée
Wet underwear/pad;Nat ondergoed/verband;Sous-vêtements/protection mouillé(e)(s)
Wet diaper changed;Natte pamper vervangen;Couche mouillée remplacée
Wet diaper;Natte pamper;Couche mouillée
Type of pee;Type plasbeurt;Type de miction
Pee during the day;Plasbeurt tijdens de dag;Miction pendant la journée
Daytime;Overdag;Jour
Pee at night's rest;Plasbeurt tijdens nachtrust;Miction pendant la nuit
Nighttime;S nachts;Nuit
First morning pee;Eerste plasbeurt na opstaan;Première miction après le lever
Wakeup;Opstaan;Le lever 
Time of event;Tijdstip;Quand?
Urge;Aandrang;Le besoin
Social reasons;Sociale redenen;Raisons sociales
No sensation of needing to pass urine, but passed urine for 'social reasons', eg just before going out or unsure where the next toilet is.;Geen aandrang, maar geplast om 'sociale redenen' zoals net voor het buiten gaan of onzekerheid over waar het volgende toilet is;Aucune sensation de besoin d'uriner, raisons sociales: juste avant de sortir, incertitude disponibilité d'une toilette
Normall will;Normale urgentie;Urgence normale
Normal desire to pass urine and no urgency;Normaal gevoel van te moeten plassen, niet dringend;Sensation de besoin d'uriner normale, pas urgent
Previous urgency;Eerdere urgentie;Urgence précédente
Urgency but it had passed away before you had to visit the toilet.;Dringend, maar het ging over voor het toiletbezoek;Urgence, mais passée avant d'aller aux toilettes
Controlled urgency;Gecontroleerde urgentie;Urgence contrôlée
Urgency but managed to get to the toilet, still with urgency, but did not leak urine.;Dringend, maar op tijd geplast, nog steeds dringend maar zonder urineverlies;Urgence, mais réussi à se rendre aux toilettes à temps sans fuite d'urine
Uncontrollable urgency;Oncontroleerbare urgentie;Urgence incontrôlable
Urgency and could not get to the toilet in time so leaked urine;Dringend, geraakte niet op tijd op toilet en verloor urine;Urgence et n'a pas réussi à se rendre aux toilettes à temps alors fuite d'urine
I don't know;Ik weet het niet;Je ne sais pas
Unknown;Onbekend;Inconnu
Volume;Volume;Volume
150 ml or less;150 ml of minder;150 ml ou moins
eg. little cup, juice box;bv. klein kopje of brikje;ex. petite tasse, boite de jus
eg. mug, can;bv. mok, blikje;ex. gobelet, canette
500 ml or more;500 ml of meer;500 ml ou plus
eg. bowl, bottle;bv. kom, flesje;ex. bol, bouteille
Wake-up time;Tijdstip van opstaan;Le temps de se réveiller
Account settings;Account Instellingen;Réglages compte
Stop;Stop;Stop
Drink;Drank;Boisson
Not connected;Niet geconnecteerd;Non connecté
Liquid intake;Drank inname;Consommation de boissons
Don't have an account?;Geen account?;Pas encore de compte?
Record every urine leakage or liquid intake;Registreer ieder urineverlies en drank inname;Enregistrez toute fuite d'urine ou consommation de boissons
Forgot password;Paswoord vergeten;Mot de passe oublié
Cycle 1;Cyclus 1;Cycle 1
Cycle 2;Cyclus 2;Cycle 2
Cycle 3;Cyclus 3;Cycle 3
Start your cycle;Start cyclus;Démarrez le cycle
Email;Email;email
Device settings;Toestel instellingen;Réglages appareil
Timeline;Tijdlijn;Journal
Voiding Diary;Plasdagboek;Journal des mictions
Complete 3 full cycles. They don't have to be in a row;Voltooi 3 volledige cyclussen. Ze moeten niet op elkaar volgen;Complétez 3 cycles, pas nécessairement consécutifs
Start;Start;Démarrez
Current password;Huidig paswoord;Mot de passe actuel
Settings;Instellingen;Réglages
Add drink;Voeg drank toe;Ajoutez boisson
Last name;Familienaam;Nom
Analysis;Analyse;Analyse
Settings;Instellingen;Réglages
Next;Volgende;Suivant
New;Nieuw;Nouveau
Turn on bluetooth to connect to the uroflowmeter;Schakel bluetooth in om verbinding te maken de uroflowmeter;Activez bluetooth pour se connecter au débitmètre
Make sure bluetooth is turned on to connect to the uroflowmeter;Zorg ervoor dat bluetooth ingeschakeld is om verbinding met de uroflowmeter te maken;Assurez-vous que bluetooth est activé pour se connecter au débitmètre
Turn on bluetooth to connect to the uroflowmeter;Schakel bluetooth in om verbinding te maken de uroflowmeter;Activez bluetooth pour se connecter au débitmètre
First name;Voornaam;Prénom
Name;Naam;Nom
Date of birth;Geboortedatum;Date de naissance
How to perform a perfect measurement;Hoe een correcte meting uitvoeren?;Comment effectuer une mesure correcte
Weight;Gewicht;Poids
Sign in;Aanmelden;Se connecter
Login;Aanmelden;Se connecter
Change password (optional);Verander paswoord (optioneel);Changer de mot de passe (optionel)
New password;Nieuw paswoord;Nouveau mot de passe
Logout;Afmelden;Déconnexion
Sign in to your account;Meld je aan met je account;Connectez-vous à votre compte
Password;Paswoord;Mot de passe
Start from morning void to morning void;Begin vanaf de ochtendplas tot de volgende ochtendplas;Un cycle cours du lever au prochain lever
Start Analysis;Start analyse;Démarrez l'analyse
Title;Titel;Titre
IPSS;IPSS;IPSS
Press the button of the uroflowmeter to turn it on;Druk op de knop van de urodlowmeter om aan te zetten;Appuyez sur le bouton du débitmètre pour l'allumer
Home;Home;Accueil
Diary overview;Dagboek overzicht;Aperçu du journal
Sign up;Registreer;Enregistrez-vous
Select uroflowmeter;Selecteer uroflowmeter;Sélectionnez le débitmètre
Bluetooth devices;Bluetooth toestellen;Appareils bluetooth
Repeat password;Herhaal paswoord;Répéter le mot de passe
Email address;Emailadres;adresse email
Questions;Vragen;Questions
Treatment overview;Behandelingsoverzicht;Aperçu du traitement
Analysis complete;Analyse compleet;Analyse finalisée
Are you sure you want to finish the current cycle?;Ben je zeker dat je de huidige cyclus wil voltooien?;Etes-vous sûr de vouloir terminer le cycle en cours?
Are you sure you want to stop the analysis?;Ben je zeker dat je de analyse wil stopzetten?;Etes-vous sûr de vouloir terminer l'analyse?
Are you sure you want to stop the current cycle before it is completed?;Ben je zeker dat je de huidige cyclus oncompleet wil voltooien?;Etes-vous sûr de vouloir terminer le cycle incomplet en cours?
Bluetooth is disabled. Please enable it to connect to the uroflowmeter;Bluetooth is uitgeschaleld. Schakel het aub in om verbinding te maken met de uroflowmeter;Bluetooth désactivé. Veuillez l'activer afin de vous connecter au débitmètre
Camera;Camera;Appareil photo
Cancel;Annuleer;Annuler
Choose picture;Kies foto;Choisir l'image
Confirm;Bevestig;Confirmer
Confirm time;Bevestig tijdstip;Confirmer
Connected;Verbonden;Connecté
Could not start analysis, try again later;Kan analyse niet starten, probeer later opnieuw;Impossible de démarrer l'analyse. Réessayez plus tard
Cycle;Cyclus;Cycle
Done;Klaar;Terminé
Drink;Drink;Boisson
Error communicating with server;Fout tijdens communiceren met server;Erreur de communication avec le serveur
Error shutting down sensor, make sure you are connected to the sensor;Fout tijdens uitschakelen uroflowmeter, zorg ervoor dat je verbonden bent;Erreur arrêter l'appareil, assurez-vous que vous êtes connecté à l'appareil
Error while sending analysis to server. Try again later;Fout tijdens verzenden analyse naar de server. Probeer later opnieuw;Erreur lors de l'envoi de l'analyse au serveur. Réessayez plus tard
Failed;Mislukt;Erreur
Failed to retrieve profile from server. Try again later;Ophalen profiel van server mislukt. Probeer later opnieuw;Impossible de récuperer le profil du serveur. Réessayez plus tard
Finish;Voltooi;Complétez
Finish cycle;Voltooi cyclus;Complétez le cycle
Go to timeline;Ga naar tijdlijn;Consulter l'historique/le journal?
Incomplete voiding diary entry;Onvolledige plasdagboek registratie;Entrée incomplête du journal des mictions
Invalid password;Ongeldig paswoord;Mot de passe invalide
Invalid username or password, please try again;Ongeldige gebruikersnaam of paswoord, probeer opnieuw;Pseudo ou mot de passe invalide. Veuillez réessayer
Login failed;Aanmelden mislukt;échec de la connexion
Maybe it's time to register a new pee?;Misschien is het tijd voor een nieuwe plas?;Peut-être il est temps d'enregistrer une nouvelle miction
New pee registered;Nieuwe plas geregistreerd;Nouvelle miction enregistré
New pee registered, Please fill in your voiding diary;Nieuwe plas geregistreerd, vervolledig het plasdagboek;Nouvelle miction enregistré, complétez le journal des mictions
Next;Volgende;Suivant
No analysis in progress;Geen analyse bezig;Aucune analyse en cours
No device found. Please be sure to turn on the uroflowmeter;Geen toestel gedetecteerd. Zorg ervoor dat bluetooth ingeschakeld is;Aucun appareil trouvé. Veuillez activer le débitmètre
Not connected;Niet geconnecteerd;Pas connecté
OK;OK;OK
Passwords don't match;Paswoorden komen niet overeen;Les mots de passe ne sont pas identiques
Please tap the yellow button to complete your diary at %@<;Tik op de gele knop om het plasdagboek te vervolledigen op %@<;Appuyez sur le bouton jaune pour compléter votre journal au %@<
Profile unavailable;Profiel niet beschikbaar;Profil indisponible
Scanning for the uroflowmeter;Scannen voor uroflowmeter;Chercher le débitmètre
Start analysis;Analyse starten;Démarrer l'analyse
Start new cycle;Start nieuwe cyclus;Commencer nouveau cycle
Stop;Stop;Stop
Stop analysis;Stop analyse;Arrêter l'analyse
Stop cycle;Stop cyclus;Arrêter le cycle
You currently have no entries in your timeline. Pees measured by the uroflowmeter will appear here.;Je hebt momenteel geen gebeurtenissen op je tijdlijn. Plassen geregistreerd door de uroflowmeter verschijnen hier.;Vous n'avez actuellement aucune entrée dans votre journal. Les mictions mesurées par le débitmètre appareîtront ici.
You currently have no entries in your timeline. You can add them manually or by using the uroflowmeter.;Je hebt momenteel geen gebeurtenissen op je tijdlijn. Je kan ze manueel toevoegen of via de uroflowmeter;Vous n'avez actuellement aucune entrée dans votre journal. Vous pouvez les ajouter manuellement ou avec le débitmètre
Your current password was not correct. Please try again;Je huidig paswoord is niet correct. Probeer opnieuw;Le mot de passe est incorrect. Veuillez réessayer.
You completed your assessment, see you doctor for next steps;Je hebt je analyse voltooid, spreek af met je dokter voor volgende stappen;Vous avez complété l'analyse, consultez votre médecin pour les prochaines démarches
